t,h_t,e,d
1595837458.9885535,2020-07-27 11:10:58.988537,32.2246,27.7559
1595837523.2576423,2020-07-27 11:12:03.257626,32.2246,27.7559
1595837586.5941868,2020-07-27 11:13:06.594170,32.2246,27.7559
1595837650.0741901,2020-07-27 11:14:10.074174,32.2246,27.7559
1595837713.5614748,2020-07-27 11:15:13.561459,32.2246,27.7559
1595837777.087075,2020-07-27 11:16:17.087060,32.2246,27.7559
1595837840.7295659,2020-07-27 11:17:20.729549,32.2246,27.7559
1595837904.4838042,2020-07-27 11:18:24.483787,32.2246,27.7559
1595837968.723481,2020-07-27 11:19:28.723464,32.2246,27.7559
1595838032.2143927,2020-07-27 11:20:32.214376,32.2246,27.7559
1595838095.5427892,2020-07-27 11:21:35.542773,32.2246,27.7559
1595838158.9341705,2020-07-27 11:22:38.934153,32.2246,27.7559
1595838222.3582659,2020-07-27 11:23:42.358249,32.2246,27.7559
1595838286.4647822,2020-07-27 11:24:46.464765,32.2246,27.7559
1595838350.1580496,2020-07-27 11:25:50.158034,32.2246,27.7559
1595838413.4856167,2020-07-27 11:26:53.485600,32.2246,27.7559
1595838476.9978611,2020-07-27 11:27:56.997846,32.2246,27.7559
1595838540.8377812,2020-07-27 11:29:00.837765,32.2246,27.7559
1595838606.2610686,2020-07-27 11:30:06.261053,32.2246,27.7559
1595838669.998932,2020-07-27 11:31:09.998916,32.2246,27.7559
1595838733.543636,2020-07-27 11:32:13.543619,32.2246,27.7559
1595838797.1733396,2020-07-27 11:33:17.173322,32.2246,27.7559
